Data Source,World Development Indicators
Country Name,India
1961,3.722743
1962,2.931128
1963,5.994353
1964,7.45295
1965,-2.63577
1966,-0.05533
1967,7.825963
1968,3.387929
1969,6.5397
1970,5.15723
1971,1.64293
1972,-0.5533
1973,3.295521
1974,1.185336
1975,9.149912
1976,1.663104
1977,7.254765
1978,5.712532
1979,-5.23818
1980,6.735822
1981,6.006204
1982,3.475733
1983,7.288893
1984,3.820738
1985,5.254299
1986,4.776564
1987,3.965356
1988,9.627783
1989,5.947343
1990,5.533455
1991,1.056831
1992,5.482396
1993,4.750776
1994,6.658924
1995,7.574492
1996,7.549522
1997,4.049821
1998,6.184416
1999,8.845756
2000,3.840991
2001,4.823966
2002,3.803975
2003,7.860381
2004,7.922937
2005,7.923431
2006,8.060733
2007,7.660815
2008,3.086698
2009,7.861889
2010,8.497585
2011,5.241315
2012,5.456389
2013,6.386106
2014,7.410228
2015,7.996254
2016,8.256306
2017,6.795383
2018,6.453851
2019,3.737919
2020,-6.59608
2021,8.947963
